Nationalité,Arrivé en 1998,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Allemagne,13595,8929,7843,7261,6886,6701,6544,6311,6238,6136,6059,5958,5867,5414,5305,5244
Portugal,8355,5986,5770,5645,5898,6103,6076,5981,5879,5786,5781,5761,5706,5655,5650,5633
France,7143,5223,4690,4368,4134,4057,3973,3834,3752,3683,3609,3564,3525,2844,2809,2776
Italie,6105,4469,4135,3897,3762,3665,3514,3426,3314,3232,3204,3164,3122,2862,2873,2871
Royaume-Uni,3268,1985,1565,1335,1195,1110,1060,1013,975,946,932,902,888,822,811,792
Etats-Unis,2851,1768,1222,952,785,697,642,602,574,569,555,541,524,504,488,473
Turquie,2398,2173,2106,2070,2037,2009,2000,1992,1969,1956,1950,1942,1929,1906,1891,1886
Autriche,2243,1327,1206,1112,1086,1047,994,967,929,913,897,874,860,804,792,776
Sri Lanka,2178,2155,2132,2110,2103,2093,2078,2066,2065,2061,2057,2053,2045,2034,2023,2021
Espagne,1806,1206,1049,978,914,854,771,706,660,604,587,584,583,564,571,586
Chine,1645,997,712,556,457,403,375,361,347,339,341,338,329,321,320,317
Brésil,1543,1174,1093,1048,1033,1003,1001,993,977,972,976,978,971,959,953,951
Russie,1297,902,819,796,778,758,752,741,725,716,708,710,703,700,701,697
Pays-Bas,1204,808,677,604,577,544,533,515,511,505,500,493,490,465,453,457
Canada,1056,562,452,378,345,318,301,288,279,271,260,258,257,245,240,238
Suède,880,506,396,322,287,274,260,243,242,239,231,230,222,212,206,201
Inde,840,504,382,334,297,279,271,267,258,256,247,248,244,238,237,239
Thaïlande,824,719,685,680,659,652,647,651,645,643,642,634,631,626,624,622
République dominicaine,808,629,606,602,594,592,597,595,583,579,582,578,570,568,560,558
Belgique,804,556,466,410,376,362,348,338,328,313,311,305,296,270,259,259
Maroc,762,642,628,619,606,604,601,596,585,583,574,577,578,574,576,568
Japon,724,468,366,232,175,160,138,136,127,126,119,117,119,117,115,116
Danemark,642,371,315,270,242,243,232,216,198,190,180,177,168,160,156,151
Pologne,548,370,326,315,309,313,301,298,288,278,273,272,275,268,266,266
Ukraine,512,344,323,317,318,320,320,318,314,313,317,316,312,312,314,312
Roumanie,511,350,323,327,323,311,312,309,300,296,297,294,294,295,295,291
