Nationalité,value,Citizenship
Nationalité - Total,8327126,Citizenship - Total
Suisse,6278459,Switzerland
Albanie,1590,Albania
Andorre,27,Andorra
Belgique,12927,Belgium
Bulgarie,6443,Bulgaria
Danemark,4897,Denmark
Allemagne,300691,Germany
Finlande,3810,Finland
France,122970,France
Grèce,11453,Greece
Royaume-Uni,41766,United Kingdom
Irlande,4074,Ireland
Islande,420,Iceland
Italie,311742,Italy
Liechtenstein,1710,Liechtenstein
Luxembourg,1464,Luxembourg
Malte,203,Malta
Monaco,24,Monaco
Pays-Bas,20664,Netherlands
Norvège,1931,Norway
Autriche,41145,Austria
Pologne,24872,Poland
Portugal,267474,Portugal
Roumanie,12235,Romania
Saint-Marin,17,San Marino
Suède,7965,Sweden
Espagne,82334,Spain
Turquie,69215,Turkey
Hongrie,17525,Hungary
Cité du Vatican,2,Vatican City
Chypre,411,Cyprus
Slovaquie,13657,Slovakia
République tchèque,7510,Czech Republic
Serbie,71260,Serbia
Croatie,29355,Croatia
Slovénie,5286,Slovenia
Bosnie et Herzégovine,31905,Bosnia and Herzegovina
Monténégro,2536,Montenegro
Macédoine,64448,Macedonia
Kosovo,106879,Kosovo
Estonie,765,Estonia
Lettonie,2092,Latvia
Lituanie,1827,Lithuania
Moldova,701,Moldova
Russie,15420,Russia
Ukraine,6423,Ukraine
Bélarus,1190,Belarus
Guinée équatoriale,21,Equatorial Guinea
Ethiopie,3326,Ethiopia
Djibouti,32,Djibouti
Algérie,4093,Algeria
Angola,3703,Angola
Botswana,51,Botswana
Burundi,278,Burundi
Bénin,367,Benin
Côte d'Ivoire,1790,Côte d'Ivoire
Gabon,133,Gabon
Gambie,594,Gambia
Ghana,1463,Ghana
Guinée-Bissau,149,Guinea-Bissau
Guinée,908,Guinea
Cameroun,4462,Cameroon
Cap-Vert,1011,Cape Verde
Kenya,1660,Kenya
Comores,20,Comoros
Congo (Brazzaville),732,Congo (Brazzaville)
Congo (Kinshasa),5890,Congo (Kinshasa)
Lesotho,23,Lesotho
Libéria,151,Liberia
Libye,843,Libya
Madagascar,630,Madagascar
Malawi,83,Malawi
Mali,273,Mali
Maroc,7573,Morocco
Mauritanie,61,Mauritania
Maurice,917,Mauritius
Mozambique,118,Mozambique
Niger,120,Niger
Nigéria,2453,Nigeria
Burkina Faso,421,Burkina Faso
Zimbabwe,331,Zimbabwe
Rwanda,468,Rwanda
Zambie,125,Zambia
Sao Tomé-et-Principe,14,São Tomé and Príncipe
Sénégal,1509,Senegal
Seychelles,58,Seychelles
Sierra Leone,204,Sierra Leone
Somalie,6907,Somalia
Afrique du Sud,1853,South Africa
Soudan,690,Sudan
Namibie,67,Namibia
Swaziland,28,Swaziland
Tanzanie,317,Tanzania
Togo,1504,Togo
Tchad,130,Chad
Tunisie,7488,Tunisia
Ouganda,367,Uganda
Egypte,2454,Egypt
République centrafricaine,50,Central African Republic
Erythrée,24860,Eritrea
Soudan du Sud,33,South Sudan
Sahara Occidental,8,Western Sahara
Argentine,1769,Argentina
Bahamas,27,Bahamas
Barbade,38,Barbados
Bolivie,1933,Bolivia
Brésil,19751,Brazil
Chili,3401,Chile
Costa Rica,392,Costa Rica
République dominicaine,5909,Dominican Republic
Equateur,2731,Ecuador
El Salvador,239,El Salvador
Guatemala,266,Guatemala
Guyana,19,Guyana
Haïti,486,Haiti
Belize,12,Belize
Honduras,249,Honduras
Jamaïque,363,Jamaica
Canada,7014,Canada
Colombie,4472,Colombia
Cuba,1732,Cuba
Mexique,3e3,Mexico
Nicaragua,267,Nicaragua
Panama,164,Panama
Paraguay,442,Paraguay
Pérou,2898,Peru
Suriname,8,Suriname
Trinité-et-Tobago,106,Trinidad and Tobago
Uruguay,370,Uruguay
Venezuela,1238,Venezuela
Etats-Unis,19257,United States
Dominique,144,Dominica
Grenade,4,Grenada
Antigua-et-Barbuda,13,Antigua and Barbuda
Sainte-Lucie,21,Saint Lucia
Saint-Vincent-et-les Grenadines,5,Saint Vincent and the Grenadines
Saint-Kitts-et-Nevis,33,Saint Kitts and Nevis
Afghanistan,6957,Afghanistan
Bahreïn,53,Bahrain
Bhoutan,53,Bhutan
Brunéi Darussalam,22,Brunei
Myanmar,192,Myanmar
Sri Lanka,27667,Sri Lanka
Taïwan (Taipei chinois),899,Taiwan (Chinese Taipei)
Chine,17083,China
Inde,13589,India
Indonésie,1839,Indonesia
Irak,7092,Iraq
Iran,4593,Iran
Israël,1434,Israel
Japon,5580,Japan
Yémen,563,Yemen
Jordanie,571,Jordan
Cambodge,852,Cambodia
Qatar,74,Qatar
Koweït,124,Kuwait
Laos,296,Laos
Liban,2275,Lebanon
Malaisie,1374,Malaysia
Maldives,45,Maldives
Oman,61,Oman
Mongolie,770,Mongolia
Népal,507,Nepal
Corée (Nord),88,North Korea
Emirats arabes unis,76,United Arab Emirates
Pakistan,3027,Pakistan
Philippines,5477,Philippines
Arabie saoudite,687,Saudi Arabia
Singapour,778,Singapore
Corée (Sud),2172,South Korea
Syrie,10643,Syria
Thaïlande,9058,Thailand
Vietnam,4409,Vietnam
Bangladesh,1766,Bangladesh
Timor-Leste,8,Timor-Leste
Palestine,213,Palestine
Arménie,703,Armenia
Azerbaïdjan,621,Azerbaijan
Géorgie,631,Georgia
Kazakhstan,976,Kazakhstan
Kirghizistan,241,Kyrgyzstan
Tadjikistan,91,Tajikistan
Turkménistan,54,Turkmenistan
Ouzbékistan,505,Uzbekistan
Australie,3287,Australia
Fidji,43,Fiji
Nauru,0,Nauru
Vanuatu,1,Vanuatu
Nouvelle-Zélande,852,New Zealand
Papouasie-Nouvelle-Guinée,17,Papua New Guinea
Tonga,7,Tonga
Samoa,7,Samoa
Iles Salomon,10,Solomon Islands
Tuvalu,0,Tuvalu
Kiribati,1,Kiribati
Iles Marshall,1,Marshall Islands
Micronésie,0,Micronesia
Palaos,4,Palau
Apatride,339,Stateless
Non attribuable selon frontières actuelles,0,Not attributable according to current borders
Sans indication,1467,No indication
